program_code,region,model_line,my,term_months,model_code,model_description,lease_cash,mf_tier_1,mf_tier_2,mf_tier_3,mf_tier_4,mf_tier_5,mf_tier_6,mf_tier_7,mf_tier_8,residual_pct
H202,MS,ELANTRA,2026,24,494E2F4S,4dr Sdn SE,1000,0.00196,0.00196,0.0021,0.00224,0.00236,0.00253,0.0028,0.00362,0.65
H202,MS,ELANTRA,2026,24,494G2F4S,4dr Sdn SEL Sport,0,0.00183,0.00183,0.00197,0.00211,0.00223,0.0024,0.00267,0.00362,0.68
H202,MS,ELANTRA,2026,24,494K2F4S,4dr Sdn SEL Sport Premium,0,0.00195,0.00195,0.00209,0.00223,0.00235,0.00252,0.00279,0.00362,0.66
H202,MS,ELANTRA,2026,24,494L2FT5,4dr Sdn N-Line,0,0.00199,0.00199,0.00213,0.00227,0.00239,0.00256,0.00283,0.00362,0.7
H202,MS,ELANTRA,2026,24,494M2F4S,4dr Sdn Limited,0,0.00181,0.00181,0.00195,0.00209,0.00221,0.00238,0.00265,0.00362,0.67
H202,MS,ELANTRA,2026,36,494E2F4S,4dr Sdn SE,0,0.00215,0.00215,0.00233,0.00247,0.00267,0.0028,0.00289,0.00354,0.62
H202,MS,ELANTRA,2026,36,494G2F4S,4dr Sdn SEL Sport,0,0.00209,0.00209,0.00227,0.00241,0.00261,0.00274,0.00283,0.00354,0.61
H202,MS,ELANTRA,2026,36,494K2F4S,4dr Sdn SEL Sport Premium,0,0.00218,0.00218,0.00236,0.0025,0.0027,0.00283,0.00292,0.00354,0.6
H202,MS,ELANTRA,2026,36,494L2FT5,4dr Sdn N-Line,0,0.00264,0.00264,0.00282,0.00296,0.00316,0.00329,0.00338,0.00354,0.62
H202,MS,ELANTRA,2026,36,494M2F4S,4dr Sdn Limited,0,0.00216,0.00216,0.00234,0.00248,0.00268,0.00281,0.0029,0.00354,0.6
H202,MS,ELANTRA,2026,39,494E2F4S,4dr Sdn SE,0,0.00226,0.00226,0.00244,0.00258,0.00278,0.00291,0.00291,0.00354,0.6
H202,MS,ELANTRA,2026,39,494G2F4S,4dr Sdn SEL Sport,0,0.00216,0.00216,0.00234,0.00248,0.00268,0.00281,0.00281,0.00354,0.57
H202,MS,ELANTRA,2026,39,494K2F4S,4dr Sdn SEL Sport Premium,0,0.00219,0.00219,0.00237,0.00251,0.00271,0.00284,0.00284,0.00354,0.54
H202,MS,ELANTRA,2026,39,494L2FT5,4dr Sdn N-Line,0,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00288,0.00354,0.58
H202,MS,ELANTRA,2026,39,494M2F4S,4dr Sdn Limited,0,0.00221,0.00221,0.00239,0.00253,0.00273,0.00286,0.00286,0.00354,0.56
H202,MS,ELANTRA,2026,48,494E2F4S,4dr Sdn SE,0,0.00269,0.00269,0.00289,0.00306,0.00331,0.00344,0.00356,0.00413,0.49
H202,MS,ELANTRA,2026,48,494G2F4S,4dr Sdn SEL Sport,0,0.00265,0.00265,0.00285,0.00302,0.00327,0.0034,0.00352,0.00413,0.48
H202,MS,ELANTRA,2026,48,494K2F4S,4dr Sdn SEL Sport Premium,0,0.00266,0.00266,0.00286,0.00303,0.00328,0.00341,0.00353,0.00413,0.44
H202,MS,ELANTRA,2026,48,494L2FT5,4dr Sdn N-Line,0,0.00265,0.00265,0.00285,0.00302,0.00327,0.0034,0.00352,0.00413,0.49
H202,MS,ELANTRA,2026,48,494M2F4S,4dr Sdn Limited,0,0.0031,0.0031,0.0033,0.00347,0.00372,0.00385,0.00397,0.00413,0.5
H202,MS,ELANTRA,2025,24,49452FT5,4dr Sdn N-Line,0,0.00193,0.00193,0.00207,0.00221,0.00233,0.0025,0.00277,0.00362,0.7
H202,MS,ELANTRA,2025,24,494E2F4S,4dr Sdn SE,0,0.00046,0.00046,0.0006,0.00074,0.00086,0.00103,0.0013,0.00362,0.64
H202,MS,ELANTRA,2025,24,494G2F4S,4dr Sdn SEL Sport,0,0.00102,0.00102,0.00116,0.0013,0.00142,0.00159,0.00186,0.00362,0.65
H202,MS,ELANTRA,2025,24,494H2F4S,4dr Sdn SEL Convenience,0,0.00112,0.00112,0.00126,0.0014,0.00152,0.00169,0.00196,0.00362,0.64
H202,MS,ELANTRA,2025,24,494J2F4S,4dr Sdn Limited,0,0.00175,0.00175,0.00189,0.00203,0.00215,0.00232,0.00259,0.00362,0.67
H202,MS,ELANTRA,2025,36,49452FT5,4dr Sdn N-Line,0,0.00223,0.00223,0.00241,0.00255,0.00275,0.00288,0.00297,0.00354,0.6
H202,MS,ELANTRA,2025,36,494E2F4S,4dr Sdn SE,0,0.00155,0.00155,0.00173,0.00187,0.00207,0.0022,0.00229,0.00354,0.59
H202,MS,ELANTRA,2025,36,494G2F4S,4dr Sdn SEL Sport,0,0.00184,0.00184,0.00202,0.00216,0.00236,0.00249,0.00258,0.00354,0.6
H202,MS,ELANTRA,2025,36,494H2F4S,4dr Sdn SEL Convenience,0,0.00175,0.00175,0.00193,0.00207,0.00227,0.0024,0.00249,0.00354,0.59
